Sentence,label
सचमुच?! मैं-मैं सोचा था कि आप किसी गंभीर चीज़ के लिए नहीं देख रहे थे? मैं सोचा था कि आप किसी तरह के फ्लिंग के लिए देख रहे थे.,3
इसका कारण यह है कि उनके तंत्रिकाएं शायद इतनी मूर्खता से ग्रस्त हो गई हैं।,2
"एक ऐसे आदमी से मिलना बहुत अच्छा है जो बुद्धिमान और हास्यास्पद है, और उसके बाद भी भावात्मक आयु है, जैसे आठ साल।",1
"ठीक है, आप लोग, बस आराम करें. मैं doooo.",0
एक स्त्री का,0
"अरे, आप उसके पीछे चल सकते हैं और देख सकते हैं कि वह कहाँ जा रहा है।",0
उनका स्वाद बहुत अच्छा है।,1
"और भी, हम नहीं जानते कि इस के साथ क्या करना है।",0
तुमने इसे पसंद किया होगा।,4
मैं जानता हूँ! आप देखते हैं यह इस तरह की चीज़ है जिसके लिए आप जहन्नम में जल रहे हैं!!,2
मैं उसे बुलाता हूँ!,1
ओह मेरे भगवान! ओह मेरे भगवान!,3
यह था. विशेष रूप से बछड़ा शानदार था.,1
"ओह... माइक की बहन ने अभी मुझे एक पार्टी में आज रात आमंत्रित किया है, वह वहाँ जा रहा है.",2
चलो! भाषण!,1
"हाँ, मैं सिर्फ पागल हूँ!",2
मैं Joey Tribbiani हूँ और सभी सम्मान के साथ मैं कुछ तरल पदार्थ दान करना चाहता हूँ।,1
मैं... मैं साहसी हूँ!,5
"ओह! मैं जानता हूँ! यह इसलिए है कि... वह सुंदर है, और वह आकर्षक है, और जब वह तुम्हें देखता है...",4
"अच्छी तरह से, आप पूरी तरह से पक्षाघाती नहीं हैं।",0
"मुझे खेद है जोय, जब तक वह यहाँ है और वह सचेत है कि हम अभी भी गोली चला रहे हैं।",0
कृपया!,2
आप इसे पसंद किया? आप सचमुच इसे पसंद किया?,3
चलो!,2
सभी वस्त्र पहन कर एक शानदार रेस्तरां में जा रहा है।,0
"देखो, देखो, ठीक है, मैं फैशन में काम करता हूँ, देखो और-और, यह वास्तव में एक असली पोशाक है।",0
"नहीं, मोनिका कुछ खाना बनाने का कार्यक्रम देख रहा है. चलो, मैं नहीं जाना चाहता जब वे कमज़ोर थे।",0
"ओह, यह बहुत मधुर है।",1
"नहीं, हम तलवार पर पेंटिंग करने के लिए जा रहे हैं, और एक बैग्यूट के साथ इसे बदलने के लिए जा रहे हैं।",0
मेरा एजेंट जानना चाहता है कि मैं आज मुझे पता नहीं था कि मैं ऑडिशन में क्यों नहीं देखा था.,2
"hypothetically की तरह, अगर Phoebe मेरा था",0
"ठीक है! तो, हम बस शादी कर रहे हैं।",1
मेरे मेज पर इस ऊंचाई पर दस्तावेजों का एक ढेर है।,0
नहीं. नहीं नहीं नहीं नहीं नहीं नहीं नहीं नहीं. यह Rodney McDowell है. औरी McDowell से आदमी है,0
"हैलो? ओह, uh, रेशेल, यह है",0
ओह! ईश्वर की कृतज्ञता!,1
नहीं नहीं!,5
"तुम एक प्रतिभावान हो, रोस।",1
ओह यह है!,1
तुम्हें पता है क्या कैटी? मैं आपको बताने के लिए मैं-मैं-मैं-मैं सोचता हूँ कि आप एक है जो बहुत है.,3
वार्र्र्र्र्र्र्र्र्र्र्र्र्र्म्!,1
"प्यारा, मैं कसम खाता हूँ! मैं उसे नहीं देख रहा था!",5
क्या पता है? इसे भूल जाओ!,2
"आप क्या बात कर रहे हैं? वह स्पष्ट रूप से दूसरी मंजिल, सेवी से सातवीं अपार्टमेंट में रहता है!",3
हार्मोन,0
यह मेरे पास से है।,0
अच्छी तरह से मैं भूल गया है कि इसका स्वाद क्या है ठीक है?,2
"ठीक है. Uh, अच्छी तरह से हम कर सकते हैं, हम आपको कुछ मिल सकता है श्री Zelner? शायद कुछ चॉकलेट?",0
"ओह, प्यारी यह तुम्हारी गलती नहीं है, तुम जानते हो यह है जो तुम हो, और मैं तुम्हें प्यार करता हूँ, और मैं हम दोस्त बनना चाहता हूँ, और अगर मैं यहाँ रह रहा हूँ तो मैं ऐसा नहीं देखता होता है।",4
मुझे बहुत खुशी है कि आप इसे कर सकते हैं।,1
"Hey, आप लोग! इस पर एक नज़र रखना! इस बच्चे को बाहर जाँचें, मुझे एक छिद्र खो दिया!",3
आप स्वागत है. मुझे क्षमा है. मैंने आप को दुख दिया था?,5
"क्या यह है? क्या यह है? हाँ, मैं यह सारा ‘क्या यह है?’ हिस्सा सिर्फ एक और नज़र देना चाहता था।",0
"ठीक है, नहीं. यह असंभव है. आप कभी भी अधिक एलन नहीं हो सकता है.",1
मैं राच को नहीं जानता।,0
"मुझे अफसोस है कि तुमने अपना पैसा खो दिया, लेकिन मैं यह उचित और वर्गाकार जीत लिया।",1
"नमस्ते और ईश्वर की गति, होप ब्रैडी.",0
"ओह, अपने ऊपर बिटना बंद करो!",4
वह वहाँ है?,0
हाँ तुमने किया! यह क्या था?,3
ओह वह एक तरह है...,6
"ठीक है, चलो चलिए! बाय, फीब्स!",1
"हाँ, लेकिन यह नहीं हो सकता है यह, मेरा मतलब है।",4
"ओह, आप सही है, आप सही है. मुझे क्षमा है.",0
"मैं Rhonda हूँ, और ये असली नहीं हैं!",0
"हाँ. लेकिन वास्तव में हम इसे थोड़ा अद्यतन करने के लिए था. Hey, वैसे ही, मुझे पकड़ने के बारे में अच्छी तरह से सोचने के लिए!",1
ओह भगवान,3
"देखो, 'मेरा बर्तन इतना खाली है कि उसमें कुछ नहीं है।",0
ठीक है. ओह! ओह नहीं.,3
"और अगर यह सच था, कैसे",0
Nngghhh!!!!!!!,2
"तो हं, यह है?",0
"ओह, तुम महान हो! और, उस पिछले भाषण में? तुम मुझे डुबो दिया.",1
क्योंकि ब्रह्मांड को चिंता होती है!,1
हाँ है! मैंने कुकी बनायी है!,1
"हाँ, और मैं जानता हूँ कि अगर वह आप से पूछता तो आप न कहेंगे, लेकिन मुझे अफसोस है; तुम इस डोना कार्न में गलियारे के नीचे चलते हुए कितना अच्छा दिखेंगे।",0
आप एक बड़ा कृपण हैं।,2
"ठीक है, मैं-मैं अंग्रेज नहीं हूँ।",4
"ओह भगवान, यह बहुत बड़ा है, लेकिन आपको सिर्फ मुझे वायदा करना है कि आप किसी को नहीं बता सकते।",3
तो मुझे सच बताओ!,2
पूरी बात! हम जा सकते हैं?,0
"रेस्तरां परीक्षक स्वीकार करता हैः मैं मोनिका के बारे में गलत था। """,1
"ठीक है, ठीक है, अगर हम इसे विभाजित करने के बारे में क्या होगा?",0
"ओह, यह सिर्फ सही समय नहीं है।",4
एक दूसरे की तरह नहीं!,0
"चिंता मत करो, चंडलर, यह संयुक्त राज्य अमेरिका का एक भूमंडल नहीं है।",0
फीब्स...,0
"आप जानते हैं, संग्रहालय के लिए छोटा, और सभी भ्रम से बचें!",0
"आप मुझे खेल रहे हैं? मैं बिना इसके एक फिल्म किराया नहीं करता है! ओह. ओह, ठीक है ओह मुझे तुम्हें वापस बुलाने दो।",3
"ठीक है, अच्छी तरह से अगर मैं पैसे के लिए इस में था, मैं अब एक मिलियनियर हो जाएगा, पता है.",0
मैं तुम्हें वापस बुलाऊँगा।,0
आप एक और कठिन आठ roll और हम आज रात यहाँ शादी कर सकते हैं।,1
"हम बस उस जगह में नहीं हैं, पता है? लेकिन हम इस के बारे में बहुत उत्साहित हैं.",0
और मैं यहाँ क्यों रहूँगा?,0
"मुझे यह है! హే, आप उसके साथ सोने के लिए मिलता है, मुझे खुजली मिल जाती है.",2
तुम्हें क्या पता है? हमें आगे बढ़ने की जरूरत है.,2
"बात क्या है, फीब्स?",0
"हे, सुनो, मैं पहले के बारे में क्षमा कर रहा हूँ।",4
"हं, सुनो, मुझे खेद है, लेकिन मैं सुबह पहले कुछ बाहर रखता हूँ।",4
यह भयानक था। उन्होंने मुझे चिकन लड़के कहा।,4
"ओह भगवान, बाहर निकलो!",2
"ओह, मैं, uh-मैं अरूबा गया।",0
"तुम कैसे कह सकते हो हाँ, क्या हमारे कैटरिंग व्यवसाय के बारे में?",2
जन्मदिन वाली दादी!,1
"ओह, मैं जानता हूँ...",1
तो यह दो साल में आपका दूसरा विवाह है।,0
"ठीक देखो, मैं इसे 50 डॉलर में बदल रहा हूँ, या आपका सबसे अच्छा प्रस्ताव।",0
"कि है, कि है, कि एक बड़ा मिठाई बार है. (उनमें से एक पकड़ रहा है उन विशाल",4
"आज जब मैं दोपहर में था, मुझे दो बार लोगों द्वारा बाहर कहा गया था.",0
ओह भगवान. मैं इस के बारे में क्षमा कर रहा हूँ.,4
"मुझे इसके बारे में बताओ, हू? ओह नहीं नहीं नहीं नहीं, मैं उसके साथ नहीं हूँ, वह सिर्फ मोनिका है! Ewwuck!",6
"निस्संदेह, तुमने किया था।",1
शायद किसी स्तर पर।,0
"हाँ, वहाँ शिकागो से एक आदमी है जो अगले मार्टिन स्कोर्सेस होना चाहिए है, ठीक है?",0
अब आप मुझे कह रहे हैं कि मैं उसे नहीं देख सकता??,2
"ओह, ओह, लेकिन आप जानते हैं, आप हमेशा इन सचमुच सुंदर महिलाओं को देख सकते हैं इन सचमुच कुछ भी आदमी के साथ, आप उन लोगों में से एक हो सकता है।",0
नहीं. हम सेक्स के बीच में थे... और,0
"ठीक है, लेकिन तुम्हें क्या पता है? मैं कहना है, मैं वास्तव में प्रभावित हूँ कि आप इस सब को इतनी तेजी से याद करने में सक्षम थे!",3
बोबी भुगतान एक्सप्रेस के लिए ट्रैकों को साफ करें. अगला स्टॉपः राहेल ग्रीन.,0
"तो आप वास्तव में यह कर रहे हैं, हू?",3
हाँ! मैं अपने पूरे जीवन में नौका चला रहा हूँ. जब मैं पंद्रह साल था मेरे पिता ने मुझे अपना नौका खरीदा था.,1
"ठीक है, तुम पाओलो को जानते हो?",0
तुम उसे बताओ!,1
"लेकिन मैं आपको यह बताना चाहूंगा, यह बिल्कुल वही बात मेरे कमरे के साथी डेनिस के साथ हुई।",0
भाई! तुम क्या कर रहे हो-तुम मुझे मारने की कोशिश कर रहे हो!,0
कह दो!,1
"मेरा मतलब यह है-यह आप के लिए स्पष्ट रूप से बहुत, बहुत महत्वपूर्ण है, हम के लिए!",1
"कृपया इसे जोड़ें, यह कानून के विपरीत है उन्हें अलग करने के लिए.",0
"अच्छी तरह से, मुझे लगता है कि फर्नीचर का टुकड़ा ठीक था जब तक कि एंजेला Delvecchio के साथ आपकी छोटी breakfast adventure",2
"नहीं, गैरी कोलिन्स होस्ट है. आप फोन जवाब देंगे.",0
"एक फ़ैन नहीं है, ठीक है।",0
"ठीक है, मैं अब क्या करने के लिए नहीं पता।",4
"नहीं. नहीं, मैं नहीं हूँ. तुम एक प्यारा हो सकता है और जाओ उसे बता सकते हैं?",4
और हम यहाँ जा रहे हैं,0
"मेरा मतलब है, मैं... मैं अब कभी भी एक पहली चुम्बन करने के लिए नहीं जा रहा हूँ।",4
और अपने स्तन! हं!,3
"देखो, मैं यह अभी नहीं कर सकता है, ठीक है, मैं एक समय-सीमा है, तुम बस घर जाओ, मैं बाद में आप से बात करेंगे।",0
"यह तुम्हारी दादी की engagement ring है, मैं चाहता हूँ कि तुम इसे राहेल को दे दो.",1
"ओह भगवान, रोस, मैं यह नहीं कर सकता।",4
"कोई खिलाना नहीं है, hmm.",3
क्या आप निश्चित हैं? महान है. कैरोल? क्या आप हमारे पास आना चाहते हैं और शामिल हो?,0
यह कैसे हुआ?,0
"ठीक है, लेकिन अगर वह पूछता है, मैं झूठ नहीं कहूँगा।",0
"हैलो, Ross वहाँ है?",0
"हाँ, यह मेरे चाचा लेनी को बताओ।",0
"सच है? ठीक है, तो",3
"ओह, हाँ, अच्छी तरह से... हाँ, इस बच्चे को बर्बाद करने का कोई उपयोग नहीं है, सिर्फ घर के चारों ओर लाइन.",0
"ठीक है. यहाँ चला जाता है. कुछ समय के लिए अब, मैं करना चाहता हूँ, हं...",0
"ठीक है, महान!",1
"या तो वह बेहतर है, सबसे महंगा मीटिंग मैंने कभी किया है।",3
"तो, umm, हम एक तरह से सभी पैसे हम यह सिर्फ एक बार करने के लिए कर रहे हैं उपयोग कर रहे हैं।",0
"यह ठीक है. मुझे लगता है कि यह किसी को भी हो सकता है, मैं जानने के लिए कोई नहीं, लेकिन... वैसे, मैं अभी भी यह देख सकता है.",0
"मैं जानता हूँ, लेकिन, मैंने एक बड़ा गलती की. मैं कभी भी उसके साथ टूटना चाहिए था. आप मेरी मदद करेंगे? कृपया?",4
ये जूते जला रहे हैं!,3
तुम्हें चाहिए! वह कैसे है?,3
"तो, तुम सचमुच उस नर्स के साथ बाहर जा रहे हैं?",3
"ओह. ठीक है, बस साँस.",0
है?,3
और फिर जो भी फोन प्राप्त करता है।,0
"ओह wow, क्या एक सुंदर नाम है! यह फिर क्या है?",1
मैं जानता था कि मैं इसे उल्लेख नहीं करना चाहिए था! यह है क्या मैं अपने बच्चे को नाम देना चाहता था!,4
क्या आप जानते हैं?,0
"मेरा मतलब है, वे जैसे-कोयोट हैं, कि झुंड के कमजोर सदस्यों को उठाते हैं.",1
"ओह, धन्यवाद. उह राच?",0
"नहीं, मैं-मैं कह रहा हूँ मैं उसे पसंद किया।",1
"10, 9, 8, 7...... नकारात्मक 46, नकारात्मक 47, नकारात्मक 48....",0
"हं, आप कुछ बनाते हैं।",0
"यह फ्रांस से है... यूरोप में... पश्चिमी यूरोप. आप जानते हैं हं, कुछ साल पहले मैं वास्तव में पश्चिमी यूरोप में बैक पैकिंग कर रहा था.",0
"अरे! मुझे बहुत खुशी है कि आप यहाँ हैं, लेकिन यह कुछ समय हो जाएगा. मैं-मैं चाहता था कि आप पहले बुलाया था.",1
"राहेल, मैंने तुम्हें एक कोकोआ बनाया।",0
"अल्लाह, इस योजना को छोड़ दीजिए!",2
"हाँ, क्या यह एक अच्छा नाम नहीं है?",1
ओह नहीं! नहीं! मेरा छेद!,3
यह एक असली खेल नहीं है! मैं इसे बनाया है!,2
आप लोगों के लिए कुछ खाने के लिए है? मैं सिर्फ कुछ चिकन के लिए जोनोस के लिए नीचे गया था और यह बंद था!,3
आप को देखो. सभी ईर्ष्या.,2
"अच्छी तरह से, मैं, मुझे उस विचार को पसंद है कि मैं किसी के बाद उसका नाम देने के लिए मैं प्यार करता हूँ, और जोई और चंडलर महान नाम हैं।",0
नहीं! शायद! मैं नहीं जानता।,4
वे wildly अप्रचलित हैं।,0
"अरे! तो uh, वह टिकटों के बारे में उत्तेजित था?",0
"तो जो लोग मेरे पहले हमारी शादी के बारे में जानते थे वे थे, Phoebe और रेशेल, हेल्डी, और लगता है कि कुछ स्टारलाइट मैजिक 7 नाम के बैंड जो इस तरह उपलब्ध हैं!",4
"ओह भगवान... ठीक है. ठीक है. ठीक है. ठीक है. रॉस, कृपया मुझे घृणा न करें.",5
यह सिर्फ ड्रम शोर नहीं है।,0
"हाँ, यह एवेन्यू ए पर नई इमारत है।",0
"मैं यह जानता था, wow!!",3
हमने आपके खाते में पांच सौ डॉलर जमा कर दिए हैं।,0
"हं, हं, हं, हं, जोय दिन के बाकी के लिए टेलीटोन में जा रहा है, हम अपने लिए पूरी जगह है.",0
"मैं, मैं तुम्हारी मदद नहीं कर सकता।",4
ओह तो-तो वास्तव में कभी नहीं।,0
"मैं, मैं आप अंतरिक्ष शिविर में नहीं जाने के लिए नहीं मिल गया है, मुझे अफसोस है, और मैं आशा करता हूँ कि शायद किसी तरह से, यह इसे पूरा करने के लिए कर सकता है।",4
"चंडलर, हमने इस बारे में बात की है।",2
"हाँ, मैं ऐसा करूँगा। तो कौन आपकी हो सकता है?",0
"ओह, तुम हो",0
ओह! ओह! ओह!,3
"ओह, hey, मोन, क्या आप अभी भी अपने पुराने फूलों और स्कूल से वस्त्रों की तरह है?",0
नहीं. और मैं नहीं सोचता कि मैं करना चाहता हूँ.,3
ओह... मिलवाकी.,0
ठीक है मैं एक होगा।,0
ठीक है!,1
महान उपन्यास?,3
"यहाँ एक chick, वहाँ एक chick, हर जगह एक chick-chick-chickeeeen.",1
मेरा जूता!,3
यह ठीक हो जाएगा।,0
"हाँ, ठीक है।",0
तुम्हें पता है?,0
तो आप में काम करते हैं,0
कोई इसे खा रहा है?,0
अच्छा कार!,1
आने के लिए बहुत धन्यवाद।,1
"तो, मैं सिर्फ एक दो दिन के लिए आप के साथ में खिसका सकता है?",0
"नहीं, नहीं-न-न-न-न!!",5
नहीं नहीं! दोबारा करने के लिए वापस जाओ!,5
वह अविश्वसनीय था।,1
आप क्या लिख रहे हैं?,0
चंडलर!,0
"हाँ, लेकिन मैं जितना देर हो सके बाहर रह सकता हूँ।",0
"आप एक क्लिनिक में जा रहे हैं, और एक पायजाम दुकान!",6
यह अभी भी दुखता है?,4
"ओह नहीं नहीं, मैं ऐसा नहीं कर सकता।",5
"ओह, यह शायद एक अवशिष्ट चेक है, हाय आप इसे मेरे लिए खोल सकते हैं, मैं एक तरह से हूँ....",0
"Uh, तुम बहुत से सेक्स किया है सही है?",0
हम क्या कर रहे हैं? हम क्या कर रहे हैं?,5
"देखो, आप और मुझे एक उपहार दिया गया है।",0
मुझे बैग छोड़ने की जरूरत नहीं है!,2
लेकिन मैं अभी भी हमेशा इस तरह वापस आएगा।,0
वहाँ क्या है?,3
मैंने अभी तक नहीं देखा है!,0
"ओह, और मैं भी थोड़ा फ्रांसीसी बोल सकता हूँ. Voulez-vous coucher avec moi ce soir? क्यों? मैंने क्या कहा?",1
मैं ठीक नहीं हूँ. यहाँ वह आता है.,5
"खैर, मैं-मैं-मैं इस के साथ समाप्त हो गया हूँ. आप कुछ चाहते हैं रोस? खेल? अंतरराष्ट्रीय? अपार्टमेंट सूचीयाँ?",0
मैं मजाक कर रहा हूँ।,0
"अरे, मैं भी!",1
झुकना झुकना,1
तुम वापस नहीं जा सकते!,3
"ओह, चलो rip!",5
"मेरा मतलब है, आप सोचेंगे कि वह मुझे अपने क्लब में नहीं दिखाने के बारे में चिंता करता है।",4
वे कहते हैं कि एक देख भाँत कभी बीप नहीं करता है.,0
"कुछ नहीं, वह बस वास्तव में उस पर विश्वास करता है।",0
"ओह, तुम मुझे हॅसी कर रहे हो.",3
"हाँ. तुम क्या कहते हैं, चलो किसी भी मानव वैज्ञानिकों को बुलाने के लिए नहीं, केवल डायनासोर आदमी!",0
हाय! आप से मिलना बहुत अच्छा है!,1
"ओह, आह-बच्चे के पास है।",0
ओह. और रेशेल वास्तव में मेरे लिए मेरे लिए सुबह बेजेल प्राप्त करने में अविश्वसनीय रहा है. यह अविश्वसनीय है कि कैसे वह यह लगभग सही हो जाता है,1
"क्या मैं? धन्यवाद, और आप भी।",0
तुम यहाँ क्यों हो?,3
"ओह, आप अमरीकी लोग हमेशा फ्रांसीसी भाषा को काटते हैं।",0
मैं जानता हूँ. मैं कल धो रहा था. यह मुझे हो सकता था.,0
हमारे पास इतना साझी है!,1
"वह एक केले पकड़ सकता है, अगर आप का मतलब है...",0
"धन्यवाद, विदा।",0
"है. अच्छी तरह से, देखो, मैं सिर्फ एक संदेश छोड़ने के लिए जा रहा था, नहीं है आज रात आपके, आपके बड़े वर्षगांठ के भोजन?",0
"आज सुबह, मैंने उसे अपने घर में देखने को पकड़ा।",6
मेरा पिता चॉक मैजीओनी है?,3
टिकटों के लिए कृपया! यह courtside बच्चा है!,1
धन्यवाद।,0
उसने मेरी ओर एक कदम उठाया।,2
वाह! Uh... तुम कैसे हो?,3
क्या मेरे बच्चे को उसका चाचा जोय होगा?,4
ओह यह ठीक है।,0
मुझे विश्वास नहीं है कि उसने ऐसा किया।,3
जब तक आप फिर फ़ॉक्सट्रॉट अभ्यास नहीं करना चाहते? या-या टैंगो?,0
आप को पता नहीं है कि यह क्या एक दुःस्वप्न रहा है. यह बहुत मुश्किल है.,4
"नमस्ते मोनिका, मैं आपको उनके साथ जीवन भर सुख की कामना करता हूं।",4
"राच, तुम ठीक हो?",3
"तो जो मैंने कहा था stupid है, उसे मत कहना कि मैंने कहा था।",0
"महान लग रहा है! ठीक है, ठीक है, अच्छी तरह से यह कहाँ जाता है?",1
ठीक है. यह रसोईघर है.,0
"अरे, तुम जल्दी हो।",0
तब कल रात मैं छः बजे तक अदालत से बाहर होना चाहिए।,1
यहाँ है! यहाँ है!,1
मुझे अचानक यह महसूस हुआ कि मैं गिर रहा हूँ। लेकिन मैं नहीं हूँ।,0
सचमुच?,3
कोई kangaroo नहीं था!,2
"नहीं, नहीं, वे करेंगे. मैं बस... uh...",0
ऐसा लगता है जैसे मैं उर्सुला से कह रहा था जब मैं उससे प्यार कर रहा था और मैंने सोचा था कि वह आप थे-हाँ यह बहुत अजीब है।,4
"ओह, मैं यह अकेले नहीं कर रहा हूँ। मैं Ross है।",0
"हाँ, आप ऐसा पसंद नहीं करते?",0
"यह नहीं कर सकते, आप कर सकते हैं?",0
क्या आप जानते हैं कि मेरे पास विद्यार्थियों से भरा एक कक्षा है?,2
निश्चित रूप से।,0
आप अब जन्मदिन के म muffins का वितरण करने के लिए प्राधिकृत नहीं हैं.,0
तो... हम खाने जा रहे हैं.,0
नहीं-नहीं-नहीं-नहीं हम एक साथ आए!,1
मुझे लगता है कि किसी ने कैसी पर थोड़ा प्यार किया है।,1
"अरे, तुम्हारे पाँव बहुत अच्छे हैं।",3
"क्योंकि विंसेंट, हम प्रेमी थे. दो साल के लिए!",2
"नहीं, नहीं, नहीं।",0
"ठीक है,",0
"ठीक है, ठीक है, अगर आप इस पर जोर देते हैं, कम से कम मुझे आप की मदद करने के लिए।",2
क्या आप शनिवार को मुलाकात करना चाहते हैं?,0
"चंडलर, मैं खेल खेल नहीं कर सकता, Ross जल्दी ही घर हो जाएगा.",0
ठीक है. लगता है कि आप खुद एक छोटा नाटक लिख रहे हैं वहाँ राच. अरे! मुझे पता है कि कैसे कि एक बाहर निकलता है।,1
अपने फोन बिल का भुगतान किया है?,0
"ओह भगवान, मुझे क्षमा है!",1
"रॉस, धन्यवाद. अरे, आप लोग एक फिल्म देखने के लिए जाना चाहते हैं?",0
"बच्चा...? मुझे क्षमा करें, uh, कि है, कि मेरी puck है।",2
"मैंने कुछ बातें कहा, जिनका मैं मतलब नहीं था, और वह-वह कुछ फेस फेंका...",0
"मैं जानता हूँ, इसलिए मैंने फिर से कहा!",2
"और आप अपने कमरे में अकेले पढ़ते थे, और अपने पहेली...",0
"मुझे लगता है कि यह महान है. Y'know, यह मधुर है, यह रोमांटिक है...",1
यहाँ तुम जाओ।,0
"रॉस, तुम्हें पता है अगर कभी आप तय करने के लिए आप redecorate की जरूरत है-और मैं सोचता हूँ कि आप करना चाहिए।",0
"ओह, यह एक अब उपलब्ध है, लेकिन केवल समान twins पात्र हैं। यह एक twins अध्ययन है।",0
"नहीं, नहीं, नहीं... क्यों, क्योंकि यह अन्य सभी के लिए अजीब हो सकता है?",0
"ओह, आप जानते हैं..",0
मैं ईमान नहीं ला सकता मैं अभी भी नहीं पता क्या हुआ है,3
हमारे लिए कोई टांग चूसना नहीं है।,0
तुम क्या बना रहे हो!,3
क्या आपके पास एक मिनट है?,0
"यह सिर्फ तुम्हें पता है, कुछ घंटे हुए हैं, और उसने नहीं बुलाया है. मैं भी चिंता नहीं है कि, तुम्हें पता है.",4
Eww!,6
"मैं एंड्रयू हूँ, और मैं इस मोती के लिए भुगतान नहीं किया था।",0
क्या हम आपके लिए कुछ कर सकते हैं?,0
"ओह नहीं! यह वास्तव में कुछ भी नहीं है, वह है",0
फिल!,1
"ठीक है, यह इतना बड़ा नहीं है-.. ठीक है, यह सच है,.. जी, आप जानते हैं, कोई-कहीं-कहीं पहले यह इस तरह रख दिया है.",0
नूह! मैं झूठ बोल रहा हूँ. मैं बहुत शराबी हूँ.,1
"हाँ, निश्चित है. हं... यहाँ.",0
"वोह, ओह, ऐसा लगता है जैसे Ross उसके साथ टूट रहा है.",3
"यहाँ मेरे पास आओ. नहीं-नहीं, तुम यहाँ मेरे पास आओ.",0
"या, अन्यथा आप यह दिखा रहे हैं कि आप किसी को देख रहे हैं, जो सिर्फ तुम को इतना निराशाजनक करता है कि मैं यहाँ अनाज की सीढ़ी में रोना शुरू कर सकता है।",6
चलो चलो।,0
मैं सार्वजनिक स्थान पर नहीं सो सकता।,0
मुझे लगता है कि मैं उड़ान ले जा रहा हूँ।,0
"ठीक है, अब आप लोग यहाँ से बाहर निकलेंगे? मैं यह एक आश्चर्य होना चाहता हूँ और वह जानने के लिए जा रहा है।",0
"ओह, आप सोचते हैं कि मैं बैग छोड़ देना चाहिए!",2
मेरा मतलब है यह एक बार जीवन में एक अवसर है...,0
वे तुम्हें जेल में डालते हैं?,3
"हाँ, प्यारा, वे इसे नहीं छोड़ेंगे।",0
हम  Patch Sisters की तरह हो सकते हैं!,1
"ठीक है, मुझे विश्वास है कि वे अभी भी यहाँ होटल में कहीं है. मैं उन्हें ढूंढने में तुम्हारी मदद करूँगा.",0
अच्छी तरह से... हाँ. आप भी बहुत अच्छे लगते हैं. क्या आप एक केश कट गया था?,1
"आप क्या करते हैं, आप क्या चाहते हैं?",3
"ठीक है, मैं यहाँ से बाहर हूँ!",2
बजाया जा सकता था,0
"अच्छी तरह से, क्यों आप उसे एक संगीत बग, ऑप, नहीं आप पहले से ही किया था नहीं भेजा नहीं।",0
"ओह, मुझे क्षमा है, ओह, मैं बस, मैं सोचा था कि हम उन्हें हिप कर सकते हैं और फिर कुछ पीस और प्याज जोड़ सकते हैं।",4
यही है?,3
यह समाप्त हो गया है! आप,1
"यह अच्छा है कि आप लोग मेरे टीम में है, और मैं खेलने के लिए आ गया है।",1
ओह!,3
आप क्या जानते हैं? आप सही है. मैं,0
"""हॉ मैं रेशेल हूँ, मेरी स्वीटर बहुत कसी है? नहीं? ओह, मैं बेहतर है इसे धोने और इसे संकुचित!""",2
"ओह, हाँ. वह उस महान शिशु की गंध है. उसके सिर की एक चीख.",1
क्या आप मेरी जन्म तिथि के आधार पर यह पता नहीं कर सकते?,2
"लेकिन तुम जानते हो, समुद्र यहीं है।",0
नहीं! कभी नहीं! कभी नहीं! बाय.,2
शायद हम एक साथ उन पर आक्रमण कर सकते हैं?,0
"यह महान है! हेलन, आप एक क्षण के लिए यहाँ आ सकते हैं?",1
तुम समझते हो कि तुम मुझे इतनी अच्छी तरह जानते हो।,2
रिंग की जाँच करें।,1
"यह मैं नहीं हो सकता, मैं यहाँ खड़ा हूँ।",0
"तुम मेरे पति से इस तरह बात मत करो, बेवकूफ!",2
"देखो, मैंने सिर्फ अपना दूसरा काम खो दिया है।",4
कोई पिता नहीं है।,0
"अब, तुमने किसी और को भी बताया है?",0
धिक्कार!,1
अरे! तुम कैसे पता है कि कैसे करना है!,3
देखो. मैं कितना आदमी हूँ!,1
अच्छा है!,1
मैं आपको भूल गया था. मैं बदलने के लिए जा रहा हूँ.,0
ओह।,1
नहीं रॉस! रॉस! रॉस! मेरे बच्चे का कोई पिता नहीं है!,5
क्या ऐसा है?,0
"नहीं, मुझे खेद है।",0
निश्चित रूप से!,1
"ठीक है, आप 19 सवाल छोड़ दिया है. उन्हें समझाने के लिए उपयोग करें. चलो Joey! आप किसी भी नहीं पूछते अगर आप नहीं जीत सकते हैं",1
"कांग्रेस एक नया घाटा कम करने की विधेयक पर बहस कर रही है... मेयर सबवे फीस फिर से बढ़ाना चाहता है... आज उच्च 45 था... और-ओह, टीमों ने खेल खेला.",0
ओह इसे रोकें. जोए पहले से ही मुझे बताया था.,1
"ठीक है देखो, आप खुद अभी वहाँ जाने के लिए जा रहे हैं, ठीक है, कुछ आश्चर्यजनक दौरों करने के लिए।",0
ओह!,3
"मेरा मतलब है, मैं उन्हें उससे मिलने के लिए क्यों छोड़ देना चाहिए?",0
"ओह, मेरा मतलब है कि वह शादी में उस के लिए प्रतीक्षा करने के लिए होगा और लोग, ""ओह उस गरीब लड़की से हिस्सकार कर रहे होंगे।""",0
